APP_ID, CIBIL_SCORE_VALUE ,NEW_CUST,CUS_CATGCODE , EMPLOYMENT_TYPE ,AGE, SEX  , NO_OF_DEPENDENTS , MARITAL , EDU_QUA,  P_RESTYPE , P_CATEGORY , EMPLOYEE_TYPE ,  MON_IN_OCC , INCOM_EXP_GMI ,LTV, TENURE ,STATUS
12345,0,YES,1,0,31,F,3,0,0,1,4,2,36,0,0.767104254,12,0
12347,0,NO,1,1,40,F,2,1,1,0,1,1,12,2,0.619077492,24,0
12349,0,YES,1,0,27,F,3,0,0,1,2,2,72,0,0.848948847,36,0
12351,2,NO,1,1,33,M,2,0,1,0,2,1,120,1,0.515646178,12,0
12353,2,NO,1,1,29,F,1,0,1,1,2,1,24,2,0.614122938,24,1
12355,0,YES,0,1,26,F,2,0,0,0,2,1,48,0,0.607374744,24,0
12357,0,YES,1,0,27,F,2,0,0,0,1,0,110,1,0.848484848,12,0
12359,0,YES,1,1,38,M,2,1,0,0,1,1,26,0,0.899215362,18,0
12361,2,NO,1,0,25,F,3,0,1,0,4,2,216,0,0.933249698,24,0
12363,0,YES,1,1,26,F,0,0,0,0,2,1,36,2,0.682159261,18,0
12365,0,YES,0,0,21,F,0,0,1,0,2,0,12,0,0.899542279,24,1
12367,1,NO,1,1,38,F,0,0,1,0,1,1,36,1,0.521595058,24,1
12369,1,NO,1,1,42,F,3,1,1,1,4,1,84,0,0.795557119,18,1
12371,2,NO,1,1,34,F,3,1,1,1,4,1,48,0,0.930981159,24,1
12373,1,NO,0,0,33,F,2,1,0,0,4,0,36,2,0.595145989,24,0
12375,2,NO,1,1,42,F,3,0,1,1,4,1,96,0,0.670363825,12,0
12377,0,YES,1,1,21,F,1,0,0,0,2,1,12,3,0.748596382,24,0
12379,1,NO,1,1,33,F,1,0,1,0,4,1,17,0,0.783187573,24,1
12381,0,YES,1,1,29,F,0,0,1,0,2,1,12,0,0.779040914,36,0
12383,0,YES,1,1,28,F,0,0,0,1,4,1,2,0,0.731317133,24,1
12385,2,NO,1,0,38,F,2,1,1,2,1,2,180,2,0.940693507,36,0
12387,2,NO,1,0,27,F,0,0,1,2,4,2,60,1,0.564299056,24,0
12389,0,YES,1,1,24,M,0,0,0,2,2,1,24,0,0.845954428,24,0
12391,0,YES,1,0,53,F,2,1,0,0,2,0,300,1,0.589500987,36,0
12393,2,NO,0,0,27,F,2,0,1,0,2,0,48,1,0.846919331,24,0
12395,0,YES,1,0,30,F,2,1,1,0,2,0,36,0,0.640044525,36,1
12397,0,YES,1,1,25,F,2,1,0,0,2,1,72,0,0.77743107,36,0
12399,1,NO,0,0,24,F,2,1,0,0,2,0,36,0,0.644321248,24,1
12401,2,NO,1,1,35,F,2,1,0,0,1,1,60,1,0.768840435,36,1
12403,0,YES,1,0,50,M,1,1,0,0,1,2,24,0,0.625016911,36,0
12405,2,NO,1,0,24,F,3,0,1,0,1,1,120,1,0.86113787,18,0
12407,0,YES,1,1,34,F,2,0,1,0,2,1,24,0,0.842159161,36,0
12409,1,NO,1,0,32,F,2,1,0,0,2,2,60,1,0.808516372,36,1
12411,2,NO,1,0,26,F,0,0,1,0,2,0,108,1,0.752605343,36,1
12413,1,NO,1,1,40,F,2,1,1,0,1,1,24,1,0.575935127,36,0
12415,2,NO,1,0,31,F,2,1,0,0,1,0,36,1,0.849613594,36,0
12417,0,YES,1,1,24,F,3,0,1,0,2,1,14,0,0.630417652,12,0
12419,1,NO,1,1,44,F,1,1,1,0,1,1,24,1,0.647428159,24,1
12421,0,YES,1,1,36,F,3,0,0,0,2,1,24,0,0.742884559,24,0
12423,1,NO,1,0,33,F,3,0,0,0,2,2,120,0,0.803652153,36,0
12425,2,NO,1,1,44,M,3,1,1,0,2,1,60,0,0.58151017,12,1
12427,0,YES,1,1,27,F,2,0,1,0,2,1,12,0,0.790751372,24,1
12429,1,NO,0,1,20,F,1,0,1,0,1,1,26,0,0.895522388,24,0
12431,1,NO,1,1,27,F,1,0,1,0,1,1,17,0,0.606060606,24,1
12433,1,NO,0,1,33,F,1,1,1,0,1,1,26,0,0.876849605,36,1
12435,0,YES,0,1,21,M,1,1,1,1,1,1,6,0,0.938461538,24,0
12437,0,YES,0,1,28,F,1,0,1,1,1,1,14,0,0.899672463,24,1
12439,1,NO,1,1,27,F,2,0,1,0,1,1,8,0,0.843217198,36,1
12441,1,NO,1,0,28,F,3,1,0,0,4,0,98,1,0.719146304,12,0
12443,1,NO,1,1,31,F,1,1,1,0,3,1,48,3,0.843084261,36,0
12445,0,YES,0,1,21,F,1,0,1,0,1,1,16,0,0.848684211,24,0
12447,0,YES,1,1,27,F,1,1,1,1,1,1,28,1,0.099809153,36,0
12449,2,NO,1,1,38,F,1,1,1,2,3,1,168,3,0.701869919,24,1
12451,1,NO,1,1,27,M,2,1,1,0,1,1,12,3,0.801266667,24,1
12453,1,NO,1,1,31,M,2,0,1,0,1,1,24,3,1,36,0
12455,2,NO,1,1,24,F,1,0,0,2,2,1,24,2,0.808297568,24,0
12457,2,NO,0,1,54,F,0,1,1,0,1,1,288,1,1,24,0
12459,2,NO,1,0,40,F,3,1,0,1,3,0,120,1,1,24,1
12461,1,NO,1,0,44,F,3,1,0,0,1,0,24,0,0.819633184,36,1
12463,0,YES,1,1,22,F,1,0,1,0,1,1,26,0,0.811126492,24,1
12465,1,NO,1,1,34,F,1,0,1,0,1,1,5,0,0.860030101,24,1
12467,1,NO,1,1,29,F,1,0,1,0,1,1,6,0,0.942857143,24,1
12469,0,YES,1,1,27,F,1,0,1,0,1,1,4,1,0.99076606,24,0
12471,0,YES,1,1,27,F,1,0,1,0,1,1,4,1,0.99076606,24,0
12473,0,YES,1,1,21,F,1,0,1,0,4,1,18,0,0.578147377,12,1
12475,0,YES,1,0,38,F,2,1,0,1,1,0,60,0,0.843815396,24,1
12477,0,NO,1,1,27,F,2,0,1,0,1,1,30,0,0.692760651,24,1
12479,0,YES,0,0,55,F,3,1,1,0,2,2,240,1,0.664292927,24,0
12481,0,YES,1,0,24,F,1,0,0,0,4,0,108,0,0.683112896,18,0
12483,1,NO,1,1,32,F,2,1,0,1,1,1,24,1,0.705882353,12,1
12485,0,YES,0,1,25,F,3,0,1,0,2,1,17,0,0.653543513,24,0
12487,2,NO,1,1,32,F,3,0,1,0,2,1,24,1,0.022018318,12,1
12489,2,NO,1,0,47,F,1,1,0,0,4,2,120,1,0.674399784,36,1
12491,0,YES,1,0,28,F,1,1,0,0,4,1,180,1,0.539565111,36,0
12493,2,NO,1,0,23,F,2,0,0,0,2,2,24,0,0.73720777,36,0
12495,0,YES,1,1,26,F,2,0,0,0,2,1,12,0,0.653173553,24,1
12497,1,NO,1,0,30,F,0,1,0,0,2,0,84,1,0.807571475,36,0
12499,0,YES,1,1,25,F,1,0,1,0,1,1,7,0,0.842151151,36,0
12501,2,NO,1,1,27,F,2,0,0,0,1,1,48,0,0.977777778,24,1
