Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
05-Jan-24,11.99,11.99,11.56,11.86,11.83364964,34776,119,411527,32231,92.68,0.43,-0.13
04-Jan-24,12,12.3,11.55,11.76,12.06634672,59385,157,716560,53505,90.1,0.75,-0.24
03-Jan-24,12.4,12.45,10.85,11.84,11.73369961,92099,290,1080662,60213,65.38,1.6,-0.56
02-Jan-24,11.24,11.24,10.53,10.75,10.76462739,24731,76,266220,24227,97.96,0.71,-0.49
01-Jan-24,10.65,11,10.65,10.75,10.87681795,33073,128,359729,30912,93.47,0.35,0.1
29-Dec-23,10.89,10.89,10.57,10.73,10.73252395,10543,65,113153,9974,94.6,0.32,-0.16
28-Dec-23,10.7,10.99,10.27,10.69,10.72262261,22756,101,244004,20691,90.93,0.72,-0.01
27-Dec-23,10.98,11.1,10.5,10.69,10.78594489,17346,67,187093,15298,88.19,0.6,-0.29
26-Dec-23,10.75,11.3,10.35,10.55,10.58511141,25402,93,268883,23681,93.22,0.95,-0.2
22-Dec-23,11.19,11.19,10.41,10.92,10.93078729,24273,65,265323,14560,59.98,0.78,-0.27
21-Dec-23,10.99,10.99,10.19,10.89,10.77454978,17658,72,190257,16867,95.52,0.8,-0.1
20-Dec-23,10.66,11.05,10.26,10.42,10.89230124,23835,88,259618,22673,95.12,0.79,-0.24
19-Dec-23,10.94,10.94,10.4,10.57,10.58652399,35886,132,379908,31235,87.04,0.54,-0.37
18-Dec-23,11.46,12,10.18,10.77,10.80401934,39907,125,431156,25782,64.61,1.82,-0.69
15-Dec-23,10.72,11.24,10.72,10.92,11.00209135,11954,64,131519,8146,68.14,0.52,0.2
14-Dec-23,10.99,11,10.55,11,10.79447519,45902,97,495488,42114,91.75,0.45,0.01
13-Dec-23,11.43,11.43,10.5,10.79,10.81623932,36036,123,389774,24111,66.91,0.93,-0.64
